C¢digo de Barras;Tipo de Produto;Descriá∆o;Preáo de Custo;Preáo Venda Varejo;Unidade;Ativo;Categoria do Produto;Subcategoria do Produto;Movimenta Estoque;Estoque m°nimo;Quantidade em Estoque;Marca;Modelo;C¢digo Balanáa;C¢digo Interno;Tags;Tipo;NCM;Origem;CEST;Categoria PDV;Bot∆o PDV;Categoria na Loja Virtual;Subcategoria na Loja Virtual;Nome na Loja Virtual;Preáo De;Preáo Por;Altura (cm);Largura (cm);Profundidade (cm);Peso (Kg);Descriá∆o do Produto;Garantia;Itens Inclusos;Especificaá‰es
5,60E+12;Produto;VIN POR HERDADE SAO MIGUEL ESCOLHA DOS ENOLOGOS TTO 750ML;116.77;199.99;Unidade;Sim;VINHOS;PORTUGAL;Sim;1.000;3.000;CANTU;;;32193;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
8,41E+12;Produto;VIN ESP TORRES MAS RABELL TEMPRANILLO TTO 750ML;30.00;43.99;Unidade;Sim;VINHOS;ESPANHA;Sim;1.000;1.000;CANTU;;;55366;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO CLASICO MERLOT TTO 750ML;32.25;49.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;2.000;CANTU;;;1392;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO GREY MAIPO CABERNET SAUVIGNON TTO 750ML;107.80;154.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;6.000;CANTU;;;1194;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO RESERVA ROSE 750ML;44.51;64.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;2.000;CANTU;;;6717;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
3,50E+12;Produto;ESPUM FRA LA ROCHE ROSE 750ML;28.71;65.00;Unidade;Sim;ESPUMANTES;FRANC“S;Sim;1.000;6.000;CANTU;;;24389;;Mercadoria para Revenda;22041090;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;65.00;0.000;0.000;0.000;0.000;;;;
8,00E+12;Produto;VIN ITA LE CASINE PRIMITIVO TTO 750ML;46.88;71.99;Unidade;Sim;VINHOS;ITALIA;Sim;1.000;3.000;CANTU;;;623;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,80E+12;Produto;VIN ARG CRIOS TORRONTES BCO 750ML;45.05;69.99;Unidade;Sim;VINHOS;ARGENTINA;Sim;1.000;5.000;CANTU;;;80300;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
3,70E+12;Produto;VIN FRA FRANC BEAUSEJOUR BORDEAUX TTO 750ML;59.01;82.99;Unidade;Sim;VINHOS;FRANC“S;Sim;1.000;0.000;CANTU;;;61548;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
8,41E+12;Produto;VIN ESP TORRES MAS RABELL ROSE 750ML;30.00;43.99;Unidade;Sim;VINHOS;ESPANHA;Sim;1.000;7.000;CANTU;;;2082;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO RESERVA CASABLANCA SAUVIGNON BLANC BCO 750ML;44.63;64.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;0.000;CANTU;;;258;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
2,00E+12;Produto;VIN CHI TANTEHUE CARMENERE TTO 750ML;22.13;37.99;Unidade;N∆o;VINHOS;CHILE;Sim;1.000;4.000;CANTU;;;6070187;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
6,01E+12;Produto;VIN AFRI LYNGROVE COLLECTION PINOTAGE TTO 750ML;47.82;71.99;Unidade;Sim;VINHOS;AFRICANO;Sim;1.000;6.000;CANTU;;;40028;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,80E+12;Produto;VIN ARG ANUBIS MALBEC TTO 750ML;44.28;59.99;Unidade;Sim;VINHOS;AFRICANO;Sim;1.000;1.000;CANTU;;;80027;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
8,06E+12;Produto;VIN ITA FRISANTE PINO PINO BCO 750ML;40.81;59.99;Unidade;Sim;VINHOS;ITALIA;Sim;1.000;1.000;CANTU;;;10809;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO RESERVA CASABLANCA PINOT NOIR TTO 750ML;45.82;64.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;4.000;CANTU;;;1606;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
8,52E+11;Produto;VIN EUA TRINCHERO SUTTER HOME ZINFADEL TTO 750ML;48.75;69.99;Unidade;Sim;VINHOS;EUA;Sim;1.000;3.000;CANTU;;;2108;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
6,01E+12;Produto;VIN AFRI LYNGROVE COLLECTION SAUVIGNON BLANC BCO 750ML;52.80;74.99;Unidade;Sim;VINHOS;AFRICANO;Sim;1.000;3.000;CANTU;;;40080;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
5,60E+12;Produto;VIN POR BARRICADO TTO 750ML;24.81;49.99;Unidade;Sim;VINHOS;PORTUGAL;Sim;1.000;16.000;CANTU;;;35781;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;49.99;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO GREY LEYDA PINOT NOIR TTO 750ML;91.03;154.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;5.000;CANTU;;;3853;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,79E+12;Produto;VIN ARG THE GRILL MASTER TTO 750ML;21.18;32.99;Unidade;Sim;VINHOS;ARGENTINA;Sim;1.000;3.000;CANTU;;;97863;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
5,60E+12;Produto;VIN POR CICONIA ALENTEJO TTO 750ML;28.78;54.99;Unidade;Sim;VINHOS;PORTUGAL;Sim;1.000;29.000;CANTU;;;31202;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
7,80E+12;Produto;VIN CHI CHILANO CABERNET SAUVIGNON TTO 750ML;16.50;32.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;16.000;CANTU;;;500010;;Mercadoria para Revenda;22042100;ESTRANG-IMP.DIRETA;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
3,50E+12;Produto;ESPUM FRA LA ROCHE DEMI SEC BCO 750ML;28.38;65.00;Unidade;Sim;ESPUMANTES;FRANC“S;Sim;1.000;13.000;CANTU;;;6820;;Mercadoria para Revenda;22029900;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;65.00;0.000;0.000;0.000;0.000;;;;
7,81E+12;Produto;VIN CHI VENTISQUERO GRAN RESERVA CABERNET SAUVIGNON TTO 750 ML;72.76;104.99;Unidade;Sim;VINHOS;CHILE;Sim;1.000;6.000;CANTU;;;8582;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;104.99;0.000;0.000;0.000;0.000;;;;
7,80E+12;Produto;VIN ARG BENMARCO MALBEC TTO 750ML;75.96;129.99;Unidade;Sim;VINHOS;ARGENTINA;Sim;1.000;1.000;CANTU;;;80539;;Mercadoria para Revenda;22042100;ESTRANG-ADQUIRIDA NO MERC.INT.;202400;;;;;;0.00;0.00;0.000;0.000;0.000;0.000;;;;
